ac_number,constituency,district,region,reserved
1,Gummidipundi,Tiruvallur,Chennai Metro,GEN
2,Ponneri,Tiruvallur,Chennai Metro,SC
3,Tiruttani,Tiruvallur,Chennai Metro,GEN
4,Thiruvallur,Tiruvallur,Chennai Metro,GEN
5,Poonamallee,Tiruvallur,Chennai Metro,SC
6,Avadi,Tiruvallur,Chennai Metro,GEN
7,Maduravoyal,Tiruvallur,Chennai Metro,GEN
8,Ambattur,Tiruvallur,Chennai Metro,GEN
9,Madavaram,Tiruvallur,Chennai Metro,GEN
10,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN
11,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN
12,Perambur,Chennai,Chennai Metro,GEN
13,Kolathur,Chennai,Chennai Metro,GEN
14,Villivakkam,Chennai,Chennai Metro,GEN
15,Thiru-Vi-Ka-Nagar,Chennai,Chennai Metro,SC
16,Egmore,Chennai,Chennai Metro,SC
17,Royapuram,Chennai,Chennai Metro,GEN
18,Harbour,Chennai,Chennai Metro,GEN
19,Chepauk-Thiruvallikeni,Chennai,Chennai Metro,GEN
20,Thousand Lights,Chennai,Chennai Metro,GEN
21,Anna Nagar,Chennai,Chennai Metro,GEN
22,Virugampakkam,Chennai,Chennai Metro,GEN
23,Saidapet,Chennai,Chennai Metro,GEN
24,Theayagaraya Nagar,Chennai,Chennai Metro,GEN
25,Mylapore,Chennai,Chennai Metro,GEN
26,Velachery,Chennai,Chennai Metro,GEN
27,Shozhinganallur,Kanchipuram,Chennai Metro,GEN
28,Alandur,Kanchipuram,Chennai Metro,GEN
29,Sriperumbudur,Kanchipuram,Chennai Metro,SC
30,Pallavaram,Kanchipuram,Chennai Metro,GEN
31,Tambaram,Kanchipuram,Chennai Metro,GEN
32,Chengalpattu,Kanchipuram,Chennai Metro,GEN
33,Thiruporur,Kanchipuram,North,GEN
34,Cheyyur,Kanchipuram,North,SC
35,Maduranthakam,Kanchipuram,North,SC
36,Uthiramerur,Kanchipuram,North,GEN
37,Kancheepuram,Kanchipuram,North,GEN
38,Arakonam,Vellore,North,SC
39,Sholinghur,Vellore,North,GEN
40,Katpadi,Vellore,North,GEN
41,Ranipet,Vellore,North,GEN
42,Arcot,Vellore,North,GEN
43,Vellore,Vellore,North,GEN
44,Anaikattu,Vellore,North,GEN
45,Kilvaithinankuppam,Vellore,North,SC
46,Gudiyatham,Vellore,North,SC
47,Vaniayambadi,Vellore,North,GEN
48,Ambur,Vellore,North,GEN
49,Jolarpet,Vellore,North,GEN
50,Tiruppattur,Vellore,North,GEN
51,Uthangarai,Krishnagiri,North,SC
52,Bargur,Krishnagiri,North,GEN
53,Krishnagiri,Krishnagiri,North,GEN
54,Veppanahalli,Krishnagiri,North,GEN
55,Hosur,Krishnagiri,North,GEN
56,Thalli,Krishnagiri,North,GEN
57,Palacode,Dharmapuri,North,GEN
58,Pennagaram,Dharmapuri,North,GEN
59,Dharmapuri,Dharmapuri,North,GEN
60,Pappireddippatti,Dharmapuri,North,GEN
61,Harur,Dharmapuri,North,SC
62,Chengam,Tiruvannamalai,North,SC
63,Tiruvannamalai,Tiruvannamalai,North,GEN
64,Kilpennathur,Tiruvannamalai,North,GEN
65,Kalasapakkam,Tiruvannamalai,North,GEN
66,Polur,Tiruvannamalai,North,GEN
67,Arani,Tiruvannamalai,North,GEN
68,Cheyyar,Tiruvannamalai,North,GEN
69,Vandavasi,Tiruvannamalai,North,SC
70,Gingee,Villupuram,Central,GEN
71,Mailam,Villupuram,Central,GEN
72,Tindivanam,Villupuram,Central,SC
73,Vanur,Villupuram,Central,SC
74,Villupuram,Villupuram,Central,GEN
75,Vikravandi,Villupuram,Central,GEN
76,Tirukkoyilur,Villupuram,Central,GEN
77,Ulundurpet,Villupuram,Central,GEN
78,Rishivandiam,Villupuram,Central,GEN
79,Sankarapuram,Villupuram,Central,GEN
80,Kallakurichi,Villupuram,Central,SC
81,Gangavalli,Salem,Central,SC
82,Attur,Salem,Central,SC
