constituency,ac_number,candidate,party,votes,turnout,reserved,region
Gummidipundi,1,GOVINDARAJAN T.J,DMK,126452,78.08,GEN,Chennai Metro
Gummidipundi,1,PRAKASH M,PMK,75514,78.08,GEN,Chennai Metro
Gummidipundi,1,USHA,NTK,11701,78.08,GEN,Chennai Metro
Gummidipundi,1,DILLIY K.M,DMDK,2576,78.08,GEN,Chennai Metro
Gummidipundi,1,None Of The Above,NOTA,1783,78.08,GEN,Chennai Metro
Gummidipundi,1,NAGARAJ S,BSP,1038,78.08,GEN,Chennai Metro
Gummidipundi,1,SARAVANAN V,IJK,816,78.08,GEN,Chennai Metro
Gummidipundi,1,SARAVANAN E,IND,532,78.08,GEN,Chennai Metro
Gummidipundi,1,DEVANATHAN R,IND,482,78.08,GEN,Chennai Metro
Gummidipundi,1,LAKSHMI R,IND,374,78.08,GEN,Chennai Metro
Gummidipundi,1,PRAKASH K,IND,351,78.08,GEN,Chennai Metro
Gummidipundi,1,GOWTHAM J,Anaithu Makkal Arasiyal Katchi,254,78.08,GEN,Chennai Metro
Gummidipundi,1,PRAKASH M,IND,196,78.08,GEN,Chennai Metro
Ponneri,2,DURAI. CHANDRASEKAR,INC,94528,78.2,SC,Chennai Metro
Ponneri,2,BALARAMAN. P,AIADMK,84839,78.2,SC,Chennai Metro
Ponneri,2,MAHESWARI. A,NTK,19027,78.2,SC,Chennai Metro
Ponneri,2,DESINGURAJAN. D,MNM,5394,78.2,SC,Chennai Metro
Ponneri,2,PON. RAJA,AMMK,2832,78.2,SC,Chennai Metro
Ponneri,2,None Of The Above,NOTA,1554,78.2,SC,Chennai Metro
Ponneri,2,BHAVANI ILAVENIL. J,BSP,1106,78.2,SC,Chennai Metro
Ponneri,2,ASHOK PRIYADARSHAN. S,IND,470,78.2,SC,Chennai Metro
Ponneri,2,SUGUMAR. K,IND,298,78.2,SC,Chennai Metro
Ponneri,2,VIJAYAKUMAR. V,Anna MGR Dravida Makkal Kalgam,190,78.2,SC,Chennai Metro
Ponneri,2,SAMBATH KUMAR.C.H,IND,116,78.2,SC,Chennai Metro
Tiruttani,3,S.Chandran,DMK,120314,78.76,GEN,Chennai Metro
Tiruttani,3,G.Hari,AIADMK,91061,78.76,GEN,Chennai Metro
Tiruttani,3,L.AKILA,NTK,12007,78.76,GEN,Chennai Metro
Tiruttani,3,D.Krishnamoorthi,DMDK,3928,78.76,GEN,Chennai Metro
Tiruttani,3,None Of The Above,NOTA,1665,78.76,GEN,Chennai Metro
Tiruttani,3,D.PAULRAJ,IND,889,78.76,GEN,Chennai Metro
Tiruttani,3,V.P.Vijayan,IND,768,78.76,GEN,Chennai Metro
Tiruttani,3,N.MAGENDIRAN,BSP,717,78.76,GEN,Chennai Metro
Tiruttani,3,M.Hari,IND,366,78.76,GEN,Chennai Metro
Tiruttani,3,M.D.Thanigai Malai,IJK,353,78.76,GEN,Chennai Metro
Tiruttani,3,A.J.Suresh,IND,182,78.76,GEN,Chennai Metro
Tiruttani,3,Shettu,IND,147,78.76,GEN,Chennai Metro
Tiruttani,3,Manikkam,All India Jananayaka Makkal Kazhagam,121,78.76,GEN,Chennai Metro
Tiruttani,3,Chandran,IND,60,78.76,GEN,Chennai Metro
Tiruttani,3,Chandran,IND,46,78.76,GEN,Chennai Metro
Thiruvallur,4,"RAAJENDRAN, V.G.",DMK,107709,77.2,GEN,Chennai Metro
Thiruvallur,4,"RAMANAH, BE VEE",AIADMK,85008,77.2,GEN,Chennai Metro
Thiruvallur,4,"PASUPATHY, P.",NTK,15028,77.2,GEN,Chennai Metro
Thiruvallur,4,"DOSS, D.",BSP,2329,77.2,GEN,Chennai Metro
Thiruvallur,4,None Of The Above,NOTA,1872,77.2,GEN,Chennai Metro
Thiruvallur,4,"GURU, N.",AMMK,1077,77.2,GEN,Chennai Metro
Thiruvallur,4,"RAJENDIRAN, G.",IND,388,77.2,GEN,Chennai Metro
Thiruvallur,4,"REVATHI, R.",IND,283,77.2,GEN,Chennai Metro
Thiruvallur,4,"BALA KRISHNAN, N.",IND,232,77.2,GEN,Chennai Metro
Thiruvallur,4,"KUMAR, E.",IND,133,77.2,GEN,Chennai Metro
Thiruvallur,4,"RAMANAN, R.",IND,97,77.2,GEN,Chennai Metro
Thiruvallur,4,"SASIKUMAR, J.",IND,87,77.2,GEN,Chennai Metro
Poonamallee,5,Krishnaswamy A,DMK,149578,72.99,SC,Chennai Metro
Poonamallee,5,Rajamannar S X,PMK,55468,72.99,SC,Chennai Metro
Poonamallee,5,Manimekalai A,NTK,29871,72.99,SC,Chennai Metro
Poonamallee,5,Revathi Manimegalai J,MNM,11927,72.99,SC,Chennai Metro
Poonamallee,5,Elumalai T.A.,AMMK,8805,72.99,SC,Chennai Metro
Poonamallee,5,Sathyamurthy A C,BSP,2891,72.99,SC,Chennai Metro
Poonamallee,5,None Of The Above,NOTA,2867,72.99,SC,Chennai Metro
Poonamallee,5,Ravikumar M,IND,448,72.99,SC,Chennai Metro
Poonamallee,5,Sivakumar S,IND,403,72.99,SC,Chennai Metro
Poonamallee,5,Velu S,IND,359,72.99,SC,Chennai Metro
Poonamallee,5,Boshya Gayathri M,My India Party,290,72.99,SC,Chennai Metro
Poonamallee,5,Rajesh P,IND,241,72.99,SC,Chennai Metro
Poonamallee,5,Venkatesan J,IND,240,72.99,SC,Chennai Metro
Poonamallee,5,Purushothaman B,IND,175,72.99,SC,Chennai Metro
Poonamallee,5,Dhasarathan R,IND,173,72.99,SC,Chennai Metro
Avadi,6,Nasar S M,DMK,150287,67.37,GEN,Chennai Metro
Avadi,6,Pandiarajan K,AIADMK,95012,67.37,GEN,Chennai Metro
Avadi,6,VIJAYALAKSHMI G,NTK,30087,67.37,GEN,Chennai Metro
Avadi,6,Udhayakumar V,MNM,17092,67.37,GEN,Chennai Metro
Avadi,6,None Of The Above,NOTA,2381,67.37,GEN,Chennai Metro
Avadi,6,Sankar N M,DMDK,1911,67.37,GEN,Chennai Metro
Avadi,6,Balasubramanian M,Tamil Nadu Ilangyar Katchi,1263,67.37,GEN,Chennai Metro
Avadi,6,CHARLES S,BSP,773,67.37,GEN,Chennai Metro
Avadi,6,Pandiarajan G,IND,360,67.37,GEN,Chennai Metro
Avadi,6,Jayakumar P,IND,300,67.37,GEN,Chennai Metro
Avadi,6,Shanavas Khan J,IND,231,67.37,GEN,Chennai Metro
Avadi,6,Nagaraj M,IND,198,67.37,GEN,Chennai Metro
Avadi,6,Dharani K,IND,187,67.37,GEN,Chennai Metro
Avadi,6,Sugumar M,IND,143,67.37,GEN,Chennai Metro
Avadi,6,Banumathi,My India Party,127,67.37,GEN,Chennai Metro
Avadi,6,Raman N,Tamilnadu Makkal Nalvazhvu Periyakkam,120,67.37,GEN,Chennai Metro
Avadi,6,Viswanathan R,MGR Makkal Katchi,108,67.37,GEN,Chennai Metro
Avadi,6,Chandrasekar.A,IND,105,67.37,GEN,Chennai Metro
Avadi,6,Venkatesan M,IND,95,67.37,GEN,Chennai Metro
Avadi,6,Durgaprasad G,IND,75,67.37,GEN,Chennai Metro
Avadi,6,Akilan T.M.,IND,72,67.37,GEN,Chennai Metro
Maduravoyal,7,GANAPATHY.K,DMK,121298,60.3,GEN,Chennai Metro
Maduravoyal,7,BENJAMIN.P,AIADMK,89577,60.3,GEN,Chennai Metro
Maduravoyal,7,PADMA PRIYA.S,MNM,33401,60.3,GEN,Chennai Metro
Maduravoyal,7,GANESHKUMAR.G,NTK,21045,60.3,GEN,Chennai Metro
Maduravoyal,7,LUCKY MURUGAN.E,AMMK,2660,60.3,GEN,Chennai Metro
Maduravoyal,7,None Of The Above,NOTA,2146,60.3,GEN,Chennai Metro
Maduravoyal,7,SHANMUGAM.K,Tamil Nadu Ilangyar Katchi,908,60.3,GEN,Chennai Metro
Maduravoyal,7,SANTHAKUMAR.Y,BSP,628,60.3,GEN,Chennai Metro
Maduravoyal,7,PRIYA.K,IND,553,60.3,GEN,Chennai Metro
Maduravoyal,7,LAVANYA.P,NCP,349,60.3,GEN,Chennai Metro
Maduravoyal,7,SELVAKUMAR.V,IND,287,60.3,GEN,Chennai Metro
Maduravoyal,7,MURUGAN.D,IND,161,60.3,GEN,Chennai Metro
Maduravoyal,7,BENJAMIN MOSES.S,IND,149,60.3,GEN,Chennai Metro
Maduravoyal,7,ABARAJITHAN.R,IND,143,60.3,GEN,Chennai Metro
Maduravoyal,7,NEVIS STELLA MARY.B,Anaithu Makkal Arasiyal Katchi,124,60.3,GEN,Chennai Metro
Maduravoyal,7,GANAPATHY.R,IND,96,60.3,GEN,Chennai Metro
Maduravoyal,7,ARUNKUMAR.A,IND,95,60.3,GEN,Chennai Metro
Maduravoyal,7,MUTHURAMAN.S,Anna MGR Dravida Makkal Kalgam,69,60.3,GEN,Chennai Metro
Maduravoyal,7,AMALRAJ.S,IND,69,60.3,GEN,Chennai Metro
Maduravoyal,7,SUMITHRA.R,Bahujan Dravida Party,64,60.3,GEN,Chennai Metro
Maduravoyal,7,RAVI.C.V,IND,48,60.3,GEN,Chennai Metro
Ambattur,8,JOSEPH SAMUEL,DMK,114554,62.01,GEN,Chennai Metro
Ambattur,8,V ALEXANDER,AIADMK,72408,62.01,GEN,Chennai Metro
Ambattur,8,R ANBU THENARASAN,NTK,22701,62.01,GEN,Chennai Metro
Ambattur,8,S VAITHESWARAN,MNM,22370,62.01,GEN,Chennai Metro
Ambattur,8,S VEDHACHALAM,AMMK,2631,62.01,GEN,Chennai Metro
Ambattur,8,None Of The Above,NOTA,2358,62.01,GEN,Chennai Metro
Ambattur,8,K Bharathi,IND,807,62.01,GEN,Chennai Metro
Ambattur,8,R Radha,NCP,615,62.01,GEN,Chennai Metro
Ambattur,8,S Praveen,IND,251,62.01,GEN,Chennai Metro
Ambattur,8,S Veena,Anaithu Makkal Arasiyal Katchi,233,62.01,GEN,Chennai Metro
Ambattur,8,NARMADA NANDHAKUMAR,IND,177,62.01,GEN,Chennai Metro
Ambattur,8,T Joseph Samuvel SanthaKumar,IND,162,62.01,GEN,Chennai Metro
Ambattur,8,T MUNIANDI,IND,156,62.01,GEN,Chennai Metro
Ambattur,8,M S ARUMUGAM,IND,142,62.01,GEN,Chennai Metro
Ambattur,8,C RAGHUL,IND,139,62.01,GEN,Chennai Metro
Ambattur,8,Bharadan,IND,111,62.01,GEN,Chennai Metro
Ambattur,8,A R MURUGAVEL,IND,95,62.01,GEN,Chennai Metro
Ambattur,8,G Soma Sundaram,IND,80,62.01,GEN,Chennai Metro
Ambattur,8,A S Kesavan,IND,59,62.01,GEN,Chennai Metro
Ambattur,8,G Srinivasan,IND,57,62.01,GEN,Chennai Metro
Ambattur,8,N Ganesan,IND,55,62.01,GEN,Chennai Metro
Ambattur,8,P Dhanraj,IND,55,62.01,GEN,Chennai Metro
Ambattur,8,Ravi,IND,44,62.01,GEN,Chennai Metro
Ambattur,8,G Vijayakumar,IND,39,62.01,GEN,Chennai Metro
Madavaram,9,SUDHARSANAM. S,DMK,151485,66.37,GEN,Chennai Metro
Madavaram,9,Moorthy. V,AIADMK,94414,66.37,GEN,Chennai Metro
Madavaram,9,ELUMALAI. R,NTK,27453,66.37,GEN,Chennai Metro
Madavaram,9,RAMESH,MNM,15877,66.37,GEN,Chennai Metro
Madavaram,9,DHAKSHNAMOORTHY. D,AMMK,7104,66.37,GEN,Chennai Metro
Madavaram,9,None Of The Above,NOTA,2166,66.37,GEN,Chennai Metro
Madavaram,9,DEEPAK. S,BSP,1393,66.37,GEN,Chennai Metro
Madavaram,9,ARAVIND KUMAR. P,Desiya Makkal Sakthi Katchi,465,66.37,GEN,Chennai Metro
Madavaram,9,MOORTHY. S,IND,437,66.37,GEN,Chennai Metro
Madavaram,9,RAMU. S,IND,431,66.37,GEN,Chennai Metro
Madavaram,9,BABU. M.G,IND,413,66.37,GEN,Chennai Metro
Madavaram,9,SAMBATH. E,SHS,175,66.37,GEN,Chennai Metro
Madavaram,9,SUDHARSANAN. D,IND,170,66.37,GEN,Chennai Metro
Madavaram,9,JAYASEELAN. S,IND,119,66.37,GEN,Chennai Metro
Madavaram,9,VINOTH KUMAR. M,Naadaalum Makkal Katchi,114,66.37,GEN,Chennai Metro
Madavaram,9,ARIVUNITHI. S,IND,108,66.37,GEN,Chennai Metro
Madavaram,9,NIRMAL KUMAR. M,IND,101,66.37,GEN,Chennai Metro
Madavaram,9,SAKTHIVEL. A,IND,85,66.37,GEN,Chennai Metro
Madavaram,9,YUVARAJ. M,Anna MGR Dravida Makkal Kalgam,81,66.37,GEN,Chennai Metro
Madavaram,9,SATHISH KUMAR. S,IND,62,66.37,GEN,Chennai Metro
Madavaram,9,RAMESH. G,IND,47,66.37,GEN,Chennai Metro
Thiruvottiyur,10,K.P.SHANKAR,DMK,88185,65.15,GEN,Chennai Metro
Thiruvottiyur,10,K.KUPPAN,AIADMK,50524,65.15,GEN,Chennai Metro
Thiruvottiyur,10,SEEMAN,NTK,48597,65.15,GEN,Chennai Metro
Thiruvottiyur,10,D.MOHAN,MNM,7053,65.15,GEN,Chennai Metro
Thiruvottiyur,10,M.SOUNDARA PANDIAN,AMMK,1417,65.15,GEN,Chennai Metro
Thiruvottiyur,10,None Of The Above,NOTA,1111,65.15,GEN,Chennai Metro
Thiruvottiyur,10,M.A.MICHAEL RAJ,IND,603,65.15,GEN,Chennai Metro
Thiruvottiyur,10,N.RAMESH KUMAR,IND,585,65.15,GEN,Chennai Metro
Thiruvottiyur,10,M.KOTTESWARAN,BSP,367,65.15,GEN,Chennai Metro
Thiruvottiyur,10,D.SASIRAJ,Samata Party,291,65.15,GEN,Chennai Metro
Thiruvottiyur,10,R.EGAVALLI,Naadaalum Makkal Katchi,253,65.15,GEN,Chennai Metro
Thiruvottiyur,10,U.VENKATESH,IND,224,65.15,GEN,Chennai Metro
Thiruvottiyur,10,M.CHELLAM,IND,184,65.15,GEN,Chennai Metro
Thiruvottiyur,10,C.DHANRAJ,IND,115,65.15,GEN,Chennai Metro
Thiruvottiyur,10,D.THAMIZHIZHAN,IND,103,65.15,GEN,Chennai Metro
